ID,Domanda,Gravidanza,Salute/Medicina,Altri contesti,Chatbot non dve rispondere
292,Vorrei sapere come proteggere meglio la mia privacy online.,,,,
361,Come potrebbe influenzare il taglio cesareo l'allattamento al seno?,,,,
274,Quali sono i principali disturbi (sintomi) causati dalla sindrome di Behçet?,,,,
335,Sto cercando di evitare i viaggi lunghi.,,,,
420,Quali sono le situazioni in cui è necessario chiamare immediatamente un medico per una convulsione febbrile nei neonati o bambini molto piccoli?,,,,
156,E' normale che i miei capezzoli siano scuri e grandi?,,,,
184,Quali sono i benefici di una dieta ricca di proteine?,,,,
379,Quali sono i sintomi tipici dell'appendicite?,,,,
367,Quali sono i reali bisogni e le motivazioni alla base della decisione di interrompere l'allattamento?,,,,
454,Come posso prevenire le ustioni in casa?,,,,
194,Come posso migliorare le mie competenze di comunicazione?,,,,
442,Cos'è la violenza ostetrica?,,,,
387,Sto cercando di evitare le attività faticose.,,,,
27,Quali sono i sintomi più comuni della malaria?,,,,
401,"Se perdo il tappo mucoso, vuol dire che sto per partorire?",,,,
352,Come posso prevenire il bruciore allo stomaco?,,,,
490,Come posso accedere a servizi di assistenza sociale?,,,,
327,Perché è importante vaccinare i bambini contro l'influenza?,,,,
365,Quali sono i fattori che possono influenzare la presenza di nausea e vomito in gravidanza?,,,,
254,Dove posso trovare la checklist per la salute materno infantile?,,,,
122,È vero che le donne in gravidanza non rischiano di infettarsi con il nuovo Coronavirus (SARS-CoV-2)?,,,,
86,Quali sono i rischi di non fare abbastanza esercizio?,,,,
5,In quali alimenti posso trovare l'acido folico?,,,,
55,Faccio fatica a mangiare,,,,
428,Come posso prevenire l'acne e evitare il peggioramento dei sintomi?,,,,
157,Perchè mi sono comparse delle macchie sul viso?,,,,
343,Sto cercando un modo per aumentare la mia creatività.,,,,
76,Quali sono i rischi per la salute orale durante la gravidanza e come posso prevenirli?,,,,
399,cos'è il tampone vaginale?,,,,
270,"A che punto inizia il bisogno di amore, affetto e contatto nei neonati?",,,,
88,Quali sono i migliori modi per prevenire le infezioni?,,,,
188,Ho bisogno di più spazio.,,,,
231,Ho bisogno di più riposo.,,,,
238,Ho bisogno di fare delle pause più frequenti.,,,,
121,Qual è la percentuale di donne in gravidanza che soffrono di insonnia nel terzo trimestre?,,,,
237,Mi sento un po' nauseata.,,,,
43,Come posso risolvere problemi di connessione internet?,,,,
494,Ho bisogno di consigli per gestire lo stress.,,,,
437,È sicuro viaggiare adesso?,,,,
228,Cosa misura il test del glucosio?,,,,
430,Cosa sono le cisti ovariche e quali sono i principali sintomi che possono causare?,,,,
496,Sto cercando un modo per migliorare la mia salute mentale.,,,,
59,Perchè sento tensione (male) al seno?,,,,
249,Sto cercando un'assicurazione sanitaria più conveniente.,,,,
